index,judul_berita
97,BEM FKp UNAIR Gelar Webinar dengan Tajuk Pondasi dalam Public Speaking
98,Kajian Sejarah Pers Indonesia Bawa Mahasiswa FIB Sabet Juara 3 LKTIN di UI
99,Semnas FKM UNAIR Ambil Peran Cegah Perubahan Iklim
100,"Gugah Kesadaran bangun Green Economy, BEM FISIP Universitas Airlangga Sosialisasikan Bank Sampah Emas"
101,"Gelisah Penggunaan Plastik di Kereta Api, Mahasiswa UNAIR Temukan Gerakan Anti Plastik"
102,Mahasiswa UNAIR Raih 5 Medali di Lomba ON-MIPA-PT 2022
103,Seminar Kolokium UiTM Law x FH UNAIR Diskusikan Peran Hukum dalam Menyokong Inovasi Teknologi dan SDGs
104,Direktorat Kemahasiswaan Bedah Buku Panduan GEMASTIK 2022
105,FH UNAIR dan Fakulti Undang-Undang UiTM Gelar Kolokium terkait Peran Hukum untuk Memajukan SDGs
106,Dosen UNAIR Bagikan Kiat Menjaga Daya Tahan Tubuh di Musim Pancaroba
107,Langkah Bijak Pilih Layanan Penitipan Hewan Kesayanganmu
108,UNAIR MENGAJAR Ajak Orang Tua Pahami Strategi Mendidik Anak di Era Digital
109,"Peka Terhadap Kesehatan Mental, Mahasiswa Keperawatan UNAIR Gagas Aplikasi Axiap"
110,Roadshow Komunitas PMW UNAIR Ajak Kolaborasi Ormawa Hingga Targetkan Ekosistem Kewirausahaan Kampus
111,Cegah Gigitan Bisa Ular pada Hewan Kesayangan
112,Cerita Mahasiswi FISIP UNAIR Ajak Generasi Muda Berbudaya dengan Berkain
113,Alumni FEB UNAIR Kupas Tuntas 5 Komponen dalam Business Plan
114,"Peringati Hari Kesehatan Mental Dunia, BEM FST UNAIR Gelar Seminar Teman Bicara"
115,Pemilihan Duta UNAIR 2022 Resmi Digelar
116,Tips dan Strategi Tembus Lomba Business Plan dari Alumnus FEB
117,Edukasi dan Pendampingan Maksimalkan Potensi Anak Berkebutuhan Khusus
118,"Vaksinasi UNAIR, Gubernur dan Rektor Siap Dukung Pemerataan Vaksinasi"
119,"Seleksi Jalur Mandiri, Rektor: Peluang Peserta KIP Kuliah dan Reguler Sama"
120,"Wisuda Periode Juni, Rektor: Kerja Keras Sangat Dibutuhkan di Tengah Pandemi"
121,"Konsulat Jenderal Jepang Baru, Siap Lanjutkan Kerja Sama dengan UNAIR"
122,Peleburan Kemendikbud-Ristek: Efektivitas atau Gejala Pergeseran Prioritas ???
123,Melepaskan Diri dari Jerat Konsumerisme
124,"Tren Pelanggar Didaulat Jadi Duta, Pakar: Perlu Ada Re-Orientasi Citra"
125,Ekstrak Tanaman Okra Berpotensi Membantu Keberhasilan Kemoterapi Kanker Hati
126,UNAIR Talk Ulas Informasi Seputar SNMPTN dan UTBK-SBMPTN 2021
127,"Ikut Akselerasi, Hasna Jadi Maba UNAIR Termuda Jalur SNMPTN 2021"
128,"Lolos SNMPTN, Anditya Azzahra Jadi Salah Satu Mahasiswa Termuda UNAIR 2021"
129,"Dukung SDGs, UNAIR Sediakan Fasilitas Olahraga dan Terapkan Kebijakan Bebas Asap Rokok"
130,Kontribusi PUSPAS Bantu UNAIR Raih 90 Besar THE Impact Ranking No Poverty
131,Dosen FPK UNAIR Banyuwangi Ulas Beberapa Penyakit pada Ikan Cupang
132,"Mengenal Tanda Tangan Elektronik, Amankah?"
133,Ekonom UNAIR Sebut Pajak Sembako Bisa Perlebar Disparitas Kemiskinan
134,Peserta KIP Kuliah Bisa Mendaftar Jalur Mandiri UNAIR
135,"Tak Hanya Buku, Perpustakaan UNAIR Sediakan Sarana Belajar dan Diskusi"
136,UNAIR Jalin Kerja Sama dengan Jakarta Global University
137,Menarik! Yuk Kenali Beberapa Event Publik UNAIR yang Dukung Ketercapaian SDGs
138,Ini yang Harus Diperhatikan Atlet Agar Tidak Kolaps Saat Berolahraga
139,Simak Pertolongan Pertama pada Kolaps saat Olahraga
140,"Atlet Tiba-tiba Tak Sadarkan Diri saat Olahraga, Ini Kata Pakar UNAIR"
141,2000 Siswa Dinyatakan Lolos SBMPTN 2021 UNAIR
142,"Minuman Berpemanis dan Plastik Kena Cukai, Dosen UNAIR: Intervensi Hilir juga Perlu"
143,UNAIR Bersama Warga dan Mahasiswa Ikuti Minggu Sehat
144,Prodi Pengobat Tradisional UNAIR Ikuti Pelatihan Kompetensi Ayurveda
145,Pakar Toksikologi UNAIR Beberkan Sifat Dasar dan Efek Senyawa Kimia Gas Air Mata
146,"Sekolah Pascasarjana UNAIR Gelar Konferensi Internasional, Bahas Kebangkitan Pandemi"
147,Apa Saja Peraturan Pajak yang Perlu Dicermati? AEEC Berikan Jawabannya!
148,Kolaborasi FKM UNAIR dan BPBD Jatim Tingkatkan Kesadaran Waspada Bencana Hidrometeorologi
149,Mahasiswa UNAIR Wakili KBRI Rumania Hadiri Brasov Multicultural Day
150,Kolaborasi Antarkan 2 Mahasiswa UNAIR Juara I Lomba Debat Nasional FEMAMI 2022
151,Jangan Sepelekan Keputihan! Dokter UNAIR Berikan Tips Bersihkan Organ Intim Wanita dengan Benar
152,KUBA 2022 Ajak Peserta Pahami Dua Konsep Bisnis
153,"Sumpah Apoteker Ke-114, Rektor: Apoteker Harus Peka dengan Isu Fundamental"
154,Mahasiswa UNAIR Sabet Dua Penghargaan Sekaligus dalam Perlombaan Tingkat Internasional
155,Airlangga Global Fisheries Symposium FPK UNAIR Ajak Peserta Tanam Mangrove
156,Cerita Mahasiswa UNAIR Juara 1 Business Plan Competition Vetepreneur
157,Magister Manajemen Bencana UNAIR Ajak Masyarakat Siaga Bencana dengan Kearifan Lokal
158,"Cetus Teknologi Manajemen Stres, Mahasiswa UNAIR Raih Juara 2 Lomba Esai Nasional"
159,BEM FPK UNAIR Ajak Mahasiswa Kritis Melalui Lomba Debat
160,IISMAVO Berikan Paparan Menarik Magang ke Luar Negeri
161,"Sekolah Rodinda, Jurnalis Tirto Sampaikan Cara Mencegah Hoaks dalam Berita"
162,Dosen UNAIR Berbagi Tips Tingkatkan Sitasi Publikasi Ilmiah
163,Sekolah Pascasarjana UNAIR Gelar Acara Forum Diskusi “Birokrasi Melayani”
164,Dosen HTN FH UNAIR Jelaskan Kondisi Penerapan Konstitusi di Indonesia
165,UNAIR Posisi Kedua di Indonesia Versi THE WUR
166,Rektor UNAIR Resmi Buka Pameran Pendidikan AEE 2022
167,Rektor Sampaikan Peran Vital Jabatan Guru Besar
168,"Kukuhkan Maba Pascasarjana, Rektor Ajak Maksimalkan Kesempatan Studi di Tengah Pandemi"
169,Direktur RSUD Dr. Soetomo Siap Dukung Proses Uji Klinis Vaksin Merah Putih
170,"Uji Klinis Vaksin Merah Putih, Rektor: Ini Vaksin Covid-19 Berstatus Halal Pertama"
171,Gubernur Khofifah Ajak Seluruh Elemen Dukung Proses Vaksin Merah Putih
172,"Menkes Targetkan Vaksin Merah Putih jadi Booster, Vaksin Anak hingga Donasi Internasional"
173,"Menko PMK: Usai Uji Klinis, Presiden Jokowi Bakal Beri Nama Resmi Vaksin Merah Putih"
174,Vaksin Merah Putih UNAIR Resmi Dimulai Uji Klinis
175,RuangGuru Jelaskan Langkah-Langkah Inovasi di Perusahaan Digital
176,"Kepada 25 Peserta IISMA Singapura, Rektor Pesan Banyak Bawa Pulang Pengetahuan dan Pengalaman"
177,Rektor UNAIR Tekankan Pentingnya Kolaborasi Antar Sektor dalam Penanganan Masalah
178,Rektor Dorong Pejabat Administratur Kampus Lakukan Transformasi ke Arah Research University
179,"Wisuda Offline Pertama di Masa Pandemi, Rektor Tekankan Wisudawan untuk Menjadi Smart-People"
180,"Sidang Dies Natalis, Rektor UNAIR Persembahkan Usia Ke-67 untuk Berkontribusi pada Indonesia"
181,Rektor UNAIR Dorong Guru Besar Suarakan Kebenaran dengan Riset dan Inovasi
182,"Pengukuhan Gubes, Rektor: Tanpa Riset, Kehidupan Manusia Tidak Akan Berkembang"
183,"Mewisuda 1290, Rektor UNAIR Serukan Kerja Keras, Cerdas dan Terus Belajar"
184,Menhan Prabowo Teken MoU dengan Rektor UNAIR
185,Rektor UNAIR Kukuhkan 1381 Mahasiswa Baru Program Pascasarjana
186,"Kukuhkan 8.174 Mahasiswa Baru, Rektor Berikan Pesan 4 Ciri Pembelajar"
187,Rektor UNAIR Resmi Lepas 51 Mahasiswa Program IISMA
188,"Vaksinasi Khusus Ibu Hamil, Rektor UNAIR: Ini Bagian dari Ikhtiar Bersama"
