index,judul_berita
609,LMI Bersama AcSES UNAIR Ulurkan Tangan untuk Para Duafa
610,"Gagas Bakso Ikan Ramah Penderita Diabetes, Mahasiswa UNAIR Raih Medali Perunggu"
611,Ekonom UNAIR Paparkan Strategi Jaga Stabilitas Harga BBM Subsidi
612,Peraih Best Inspiratif Muslimah Syar’i 2022: Hijab Bukan Penghalang Tingkatkan Potensi
613,SIKIA Banyuwangi Tingkatkan Rasa Syukur dengan Gelar Silaturahmi
614,"Bahas Minyak Goreng dan Pertalite di Banyuwangi, BEM KM SIKIA Temui Pemkab"
615,Tips Kontrol Kolesterol saat Puasa dari Ahli Gizi UNAIR
616,Ekonom UNAIR Ungkap Alasan Kenaikan Harga Menjelang Lebaran
617,Tips Menjadi Manusia Penuh Pesona Versi Islam
618,"Pancasila Jadi Mata Pelajaran, Pakar UNAIR Nilai Ada yang Lebih Penting"
619,"Teliti Zat Charantin dalam Pare, Mahasiswa FTMM Raih Gold Medal Kompetisi Internasional"
620,Ekonom UNAIR Nilai Kenaikan BBM Subsidi Tidak Akan Terjadi Dalam Waktu Dekat
621,PUSPAS UNAIR Bedah Makna Surat Al-Mu’awwidzatain
622,Kapadokia Jalin Keakraban Antar Mahasiswa Ekonomi Islam
623,HIMA D3 Administrasi Perkantoran UNAIR Bagikan Pengalaman Ikuti Magang Kampus Merdeka
624,Alumni UNAIR Siap Luncurkan Aplikasi untuk Petani Walet
625,"Tidak Kalah Energik, IKAFE Gowes Sambang Kampus FEB UNAIR"
626,UNAIR Promosikan Ekowisata Jombang Lewat International Community Services 2022
627,Peduli Cagar Budaya Antarkan Mahasiswa UNAIR Juarai Kompetisi Esai Sejarah Nasional
628,"Kenalkan Budaya Baru, SEHAT FKM Bentuk Maba jadi Generasi Pereka Karya"
629,"Menuju OLIVIA 2022, Yuk Intip Tips dan Trik Runner Up OLIVIA 2021"
630,Garuda Sakti UNAIR Adakan Webinar Menuju Mawapres Berkualitas
631,Mahasiswa UNAIR Dorong Digitalisasi UMKM Lewat SEMAR INDONESIA
632,"BPHA UNAIR Kenalkan Senat Mahasiswa Kesmas, Stimulus Pergerakan Mahasiswa"
633,UNAIR Tingkatkan Literasi Anak Melalui Radiologi Mengajar 2022
634,Webinar FTMM UNAIR Bahas Kekerasan Gender Berbasis Online
635,Ketahui Lima Tips dalam Melakukan Public Speaking Berikut Ini!
636,Waspadai Gejala Penyakit Parkinson Berikut Ini
637,Mengetahui Lebih Dalam soal Etika Foto Jurnalistik
638,Memaksimalkan Produksi Unggas Indonesia dengan Pengembangan Genetika
639,"Pengmas Magister Manajemen Bencana UNAIR, Latih Sikap Penyelamat yang Hebat"
640,Tips Membangun Personal Branding untuk Mempersiapkan Karir Masa Depan
641,BEM FST UNAIR Ajak Mahasiswa Tanggapi Isu Krisis Iklim
642,"Peringati Dies Natalis ke-17, Program Studi Pengobatan Tradisional Gelar Germas Toga Battra 2022"
643,"Kasus Santri Gontor, Pakar Hukum Pidana: Perjanjiannya Batal Demi Hukum"
644,"Gagas Aplikasi Tangani Kekerasan Seksual, Mahasiswa UNAIR Sabet Emas di WYIIA 2022"
645,Pengmas Prodi Teknik Biomedis UNAIR Kenalkan Aplikasi Sistem Informasi Ibu dan Anak
646,LBH Surabaya Tegaskan UU PSDN Picu Konflik Horizontal
647,Kebaktian Paskah Fakultas Vokasi 2022: The  Importance of Salvation
648,"Bikin Usahamu Makin Melejit, Simak 5 Trik Tentukan Harga Jual Produk Kian Berprofit"
649,Kenali Business Intelligence sebagai Strategi Tepat Jalankan Bisnis
650,Ustadz Aditya Abdurrahman Bagikan Resep Mujarab Sembuhkan Penyakit Hati
651,Webinar DPKKA Bagikan 5 Kunci Sukses Business Intelligence Perusahaan
652,"Menyoal Penarikan Tarif Rp1.000 Tiap Akses NIK, Pakar UNAIR: Perlu Transparansi yang Lebih Tinggi"
653,SIKIA UNAIR Beri Sosialisasi Penerimaan Mahasiswa Jalur Mandiri
654,"Amerika Nilai PeduliLindungi Langgar HAM, Begini Tanggapan Pakar UNAIR"
655,Tiga Cara Mudah Mencegah Bau Mulut saat Puasa
656,"Gandeng Perpustakaan, FISIP UNAIR Gelar Kelas Literature Review"
657,Menilik Keberadaan Ikan Iblis di Danau Toba yang Meresahkan Masyarakat
658,UNAIR Buka 3 Jalur Seleksi PMB Mandiri untuk Camaba 2022/2023
659,Webinar DPKKA Ungkap Potensi Tersembunyi Kaum Rebahan
660,"Tingginya Komoditas Pokok, Pakar UNAIR Sebut Pentingnya Koordinasi Antar Elemen"
661,Mengenal Klasifikasi Kepemimpinan Menurut Peneliti Senior BRIN
662,Gancar C. Premananto Ungkap Dekatnya Kaitan Manajemen dengan Bulan Ramadhan
663,"Inspiratif, Dosen UNAIR Raih Penghargaan Golden Squirrel Tail di Belanda"
664,Enam Prioritas Kesehatan Indonesia Menurut Peneliti Senior BRIN
665,Dosen UNAIR Ceritakan Tantangan Studi ke Luar Negeri
666,Legenda Mbah Bungkul dan Sejarah Desa Islam di Surabaya
667,Kebijakan Bantuan Subsidi Upah Dinilai Kurang Tepat
668,Herlambang P. Wiratraman: Hukum Tidak Bekerja Sebagaimana Mestinya dalam Suatu Rezim Otoritarian
669,Fatia Maulidiyanti: Pelanggaran Kebebasan Sipil di Indonesia Seringkali Lepas Tanpa Akuntabilitas
670,Menakar Manfaat Kartu Pra-Kerja untuk Pemulihan Ekonomi Pasca-Pandemi
671,"Enam Bulan Berperang, Pengamat UNAIR Sebut Rusia Mendapat Sanksi dan Kecaman"
672,"Airlangga Forum, Wakil Ketua DPRD Surabaya Paparkan Data Tentang SDM Indonesia"
673,Tim Pengmas FH UNAIR Tingkatkan Daya Saing Kopi Kare
674,Airlangga Media Webinar dan Workshop 3.0 Ulas Content is King
675,SIKIA Berikan Pelatihan Daftar Pustaka Menggunakan Mendeley
676,Fakultas Keperawatan UNAIR Kembali Lantik 101 Ners Baru
677,Dosen UNAIR Bahas Dua Sisi Quiet Quitting yang Sedang Digemari Anak Muda
678,"Edukasi Pencegahan Korupsi, KPK Gelar Kuliah Umum Antikorupsi di UNAIR"
679,UNAIR Segera Desain Portofolio Kompetensi untuk Mahasiswa
680,Mahasiswi Bahasa dan Sastra Indonesia Raih Juara 1 Lomba News Anchor
681,Mahasiswa UNAIR Raih Juara II Lomba Cipta Puisi Nasional
682,Peternak Ayam Petelur Perlu Memaksimalkan Tanggung Jawab Kesejahteraan Kandang
683,Pakar Hukum Siber: Bjorka Muncul Akibat Kekacauan Pengelolaan Sistem
684,"Angkat Isu Kesehatan Mental Anak, Mahasiswa UNAIR Raih Predikat Best Paper Nasional"
685,DPKKA Gelar Webinar Persiapan Kerja bagi Fresh Graduate
686,UNAIR Gelar Workshop Desain Portofolio Kompetensi untuk  Tingkatkan Kredibilitas Mahasiswa
687,Dosen FK UNAIR Sebut Hydrogen Fontaine Belum Diketahui Memiliki Standar Medis
688,"Bahas Peluang Kerja Sama, UNAIR Gandeng Tiga Universitas di Denmark"
689,DPKKA UNAIR Beberkan Kendala Fresh Graduate dalam Dunia Kerja
690,Mahasiswa UNAIR Raih Juara II Duta GenRe Kabupaten Tulungagung 2022
691,Rektor Dukung Satgas PPKS UNAIR Implementasikan Permendikbud Ristek RI Nomor 30 Tahun 2021
692,SEHAT FKM Tanamkan Nilai Moral dan Keramahan pada Mahasiswa Baru
693,"Calon Anggota DPR 2024 Tidak Wajib Punya SKCK, Ini Kata Dosen UNAIR"
694,Manager Digital Marketing Nutrifood Bagikan 4 Kriteria Konten Berdaya Saing
695,Ketua BEM dan Amnesty UNAIR: UU TPKS Jadi Nafas Segar Tetapi Banyak Celah
696,Sering Gugur di Tahap Interview Kerja? Yuk Kenali 2 Jenis Wawancara yang Wajib Kamu Ketahui
697,"Bikin CV Kamu Dilirik HRD, Hindari 5 Kesalahan Fatal ini"
698,Mahasiswa Farmasi UNAIR Raih 3rd Best Editorial Paper di Asia Pacific Pharmaceutical Editorial Competition 2022
699,Energi Baru Terbarukan sebagai Pemerataan Energi di Indonesia
700,Dosen Psikologi UNAIR Ajak Kenali Gejala Burnout
701,IKN Berpotensi Krisis Air Bersih? Ini Kata Pakar UNAIR
702,Pentingnya Peran Perempuan dalam Sektor Perikanan dan Kelautan
703,Pakar UNAIR Sebut Pasar Takjil Ramadan Dapat Tingkatkan Perekonomian Masyarakat
704,Wakil Ketua Imparsial Soroti Tiga Poin Bermasalah UU PSDN
705,Pakar Hukum UNAIR Paparkan Potensi Arah Putusan MK dalam Perkara Pengujian UU PSDN
706,Pakar UNAIR Sebut Masyarakat Harus Melakukan Bela Negara Sesuai Keahliannya
707,"Gagas Aplikasi Berbasis Artificial Intelligence, Mahasiswa FIB UNAIR Raih Juara I Esai Nasional"
708,Tips Tingkatkan Sitasi Publikasi Ala Dosen FKG UNAIR
709,"Masyarakat Sipil Akan Terlibat Militer, Para Ahli Sampaikan Keberatan"
710,Direktur WALHI Jatim: Urgensi Transisi EBT di Indonesia Sudah Ada
711,Ketua CENTRA Initiative Sebut UU PSDN Cederai HAM
712,Mengenal Counter Terrorism Menurut Dosen Hukum UNAIR
713,Wakil Dekan II FH Tekankan Pentingnya Partisipasi Publik dalam Refleksi terkait UU Cipta Kerja
714,Prodi Pengobat Tradisional Gelar Webinar Bertajuk Celebrate Your Eid with Fresh Natural Products
715,"Bukan Menambah Konsumsi Makan, Ini Tips Lancar Jalani Puasa Ramadan bagi Penderita Maag"
716,Kajian B-PHA FKM SIKIA Ulas Mengenai Pelonggaran Protokol Kesehatan Saat Mudik Lebaran
717,"Sampai Tulungagung, UNAIR Bagikan 3.000 Paket Sembako untuk Masyarakat"
718,UNAIR Siapkan Pendamping Dukung Program 10 Juta Produk Bersertifikat Halal
719,Ketua TP PKK Jawa Timur Arumi Bachsin Ajak Generasi Muda Sadar Gizi
720,Peningkatan Kemampuan Entrepreneurship Siswa SMA Kabupaten Trenggalek Melalui Pelatihan Pembuatan Alat Deteksi Kelelahan
721,Pakar Komunikasi UNAIR Imbau Masyarakat Harus Miliki Kesadaran Keamanan Data
722,Masyarakat Profesi Penilai Indonesia Gandeng FEB UNAIR Adakan Sosialisasi Profesi Penilai
723,PKKMB FPsi UNAIR Ajak Mahasiswa Baru Eksplor Potensi Diri
724,"Berawal dari Mimpi, Antarkan Mahasiswa Studi Kejepangan menjadi Mawapres"
725,Pakaian dan Aksesori Gelap Sebabkan Kelainan Kulit: Mitos Atau Fakta?
726,SDGs Center UNAIR Inisiasi Modul Pembelajaran Mahasiswa
727,Peresmian PAUD Anak Cerita Tandai Dimulainya Pembelajaran Tatap Muka
728,"Nyalakan 500 Lilin, FK UNAIR Kampanye Cegah Bunuh Diri"
729,Dosen Battra Imbau Pentingnya Tanaman Toga untuk Kesehatan
730,"Pembekalan KIM UNAIR, Mahasiswa Harus Tepat Lihat Skema"
731,"Harga BBM Melonjak, Pakar Sosiologi UNAIR: Akan ada Orang Miskin Baru"
732,SIKIA UNAIR Hadirkan Program Talent Scouting sebagai Unjuk Bakat Mahasiswa
733,Wakil BEM UNAIR Ingatkan untuk Objektif Nilai Peristiwa Sosial
734,Dokumenter Tari Remo Antarkan Tim UNAIR Raih Juara III Lomba Festival Film Nasional
735,Niagahoster Ajak Mahasiswa Berkarir di Bidang TI
736,"BEM FIB UNAIR Gelar Sekolah Organisasi, Ajak Maba Aktif dan Berprestasi"
737,Pengabdian Masyarakat Fakultas Vokasi UNAIR Bersama Lazismu Sidoarjo
738,"Indonesia Bebas HIV 2030, Pakar UNAIR: Kenali Penularannya"
739,Dukung SGDs Bidang Kesehatan FKp UNAIR Gandeng YBSI dalam Nurse Action
740,Tips Personal Development oleh Presiden Mahasiswa SIKIA UNAIR di VOD 2022
741,"Harga BBM Naik, Ekonom UNAIR: Ujung-ujungnya Konsumen yang Kena"
742,KKI SIKIA Banyuwangi UNAIR Gelar Kajian Lailatul Qadar di Penghujung Bulan Ramadan
743,Dr Doddy Ulas Berendam Air Panas Setelah Gym Berpengaruh Negatif pada Kesuburan Pria
744,"Konflik Israel-Palestina Masih Berlangsung, Dosen UNAIR Sebut 4 Alasannya"
745,Dinkes Jatim Gandeng FK UNAIR Sukseskan Program Deteksi Mandiri Penderita TBC Lewat Aplikasi
746,"Pakar UNAIR: Bukan Melayu, Bahasa Indonesia Lebih Layak Jadi Bahasa Kedua ASEAN"
747,Pakar UNAIR: Sistem Pencatatan Plat Nomor Kendaraan yang Mengisi BBM Sangat Rumit
748,Pakar UNAIR: Vaksinasi Jadi Angin Segar Turunkan Kanker Serviks di Indonesia
749,Tausiah Ramadan FEB: Pentingnya Mengubah Harta Menjadi Amalan yang Kekal
750,"Hibah, Wasiat dan Waris Dalam Islam"
751,Webinar GenBi: Bisnis Wajib Memperhitungkan Sumber Daya Alam
752,Mahasiswa SIKIA Banyuwangi UNAIR Raih Juara 1 Esai Tingkat Nasional
753,Sinergi UNAIR-BRI Selenggarakan Program Deepening Desa BRIlian
754,"Dukung Penuh MBKM, UNAIR Telah Kirim 7 Ribu Mahasiswa"
755,"Bahas Cryptocurrency, Pakar Ekonomi Islam UNAIR Paparkan Perspektif Syariah"
756,"Sambut Cuti Lebaran, RSUA Ditunjuk Jadi Pusat Rujukan Kesehatan Tingkat Jatim"
757,Kuliah Umum FH UNAIR Bahas Hak Korban Kekerasan Seksual
758,Rumah Sakit Hewan Pendidikan UNAIR Beri Vaksinasi Rabies Gratis
759,"Gandeng Kapolda, BEM UNAIR Fasilitasi 600 Vaksin Booster untuk Civitas Akademika"
760,Kenali Modus Kegiatan Perdagangan Berjangka Komoditi Ilegal
761,Alumnus Sosiologi UNAIR Bagikan Tips Menjadi Lulusan Berkualitas
762,"Tips Berprestasi Ala Ayuma, Puteri Indonesia 2020"
763,Adu Program Unggulan 3 Calon Ketua AUBMO 2022/2023
764,Tips Bawa Hewan Peliharaan saat Mudik
765,"Peringati Hari Kartini, Fakultas Psikologi Ajak Perempuan Jadi Kartini Masa Depan"
766,"Salurkan BLT BBM, Pakar Ekonomi UNAIR: Itu Belum Cukup"
767,Menilik Kisah Alumni UNAIR yang Meniti Karir di Industri Energi Terbarukan
768,Pakar Hukum Siber UNAIR: Indonesia Harus Meratifikasi Budapest Convention
769,Polisi Pesan Mahasiswa SIKIA UNAIR Perkuat Patriotisme di Kaderisasi VOD 2022
770,Pusat Halal Dampingi Kantin UNAIR Akselerasi UMK Dapatkan Sertifikat Halal Gratis
771,Dosen UNAIR: Jangan Mudah Terkecoh Dengan Influencer Saham
772,Mahasiswa UNAIR Sabet 2 Penghargaan di NCHU Taiwan
773,"Mengenal NFT, Hasilkan Uang dengan Karya Seni Digital"
774,4 Mahasiswa UNAIR Ikuti Pertemuan Internasional SEAOHUN Bahas One Health
775,Mahasiswa UNAIR bagikan Tips Lolos Beasiswa Bakti BCA
776,Alumnus UNAIR Beberkan Cara Penanganan Lameness pada Kuda
777,"Tips Menulis Esai Ilmiah yang Baik, Mahasiswa Perlu Tahu!"
778,Aphsa FKM UNAIR Ajak Mahasiswa Bahas Isu Kesehatan Masyarakat
779,Departemen Fisika UNAIR Gelar Pengmas Bersama Guru dan Siswa SMA di Trenggalek
780,Belajar Fisika Menyenangkan Melalui Diseminasi Material Medis pada Guru SMA di Trenggalek
781,"Launching Bank Sampah Emas,  Gandeng SDGs Center UNAIR Capai Zero Goals"
782,Pengmas Farmasi UNAIR Ajarkan Pola Hidup Sehat di Masa Endemi
783,BEM FEB UNAIR dan BEM FTIRS ITS Gelar Studi Banding
784,Tim Pengmas UNAIR Berdayakan Masyarakat KEK Mandalika
785,ADPRC-OHCC Bahas Penerapan Kota Sehat dalam Webinar One Health City Series 2
786,LIPJPKI Fasilitasi Civitas Akademika UNAIR Tingkatkan Sitasi Publikasi
787,Prodi Fisika UNAIR Internasionalisasikan Dua Mata Kuliah
788,Pengenalan Bahasa Pemrograman Komputer pada Siswa Sekolah Menengat Atas
789,Media Wudhu Smart Departemen Fisika UNAIR Dikenalkan pada Siswa SMA
790,Cerita Pengalaman Alya Menempuh Studi di Kota Teraman Dunia
791,BEM FKM Gelar RUBIK Ulas Mengenai Digitalisasi dalam Dunia Kesehatan
792,"Cerita Tania Mengenyam Pendidikan di Singapura, Mulai Kuliah Hingga Belajar Bahasa Isyarat"
793,Kupas Tuntas Teknologi Bioflok Bersama Akuakultur SIKIA UNAIR
794,Ekonomi Digital dan Kesehatan sebagai Kolaborasi Epik Guna Tingkatkan Status Kesehatan Indonesia
795,UNAIR Raih Posisi 5 Indonesia dalam THE Impact Rankings 2022
796,Cerita Dosen FKM UNAIR Rasakan Lebaran di Jerman
797,Pakar UNAIR Bagikan Tips Menjaga Pola Makan Pasca Ramadan
798,Lima Tips Konsumsi Makanan Saat Lebaran Ala Pakar UNAIR
799,Tips Cara Jaga Kolesterol saat Idul Fitri
800,Dosen UNAIR Sebut Konflik Israel dan Palestina Banyak Memuat Isu Krusial
801,Mahasiswa Keperawatan UNAIR Dirikan Komunitas Pengabdian Masyarakat Care P Mu
802,"Mengenal Sejarah Halalbihalal, Tradisi Lebaran Khas Indonesia"
803,Pakar UNAIR: Tradisi Lebaran Bukan Sekadar Kumpul Keluarga
804,Sosiolog UNAIR Paparkan Akar Berbagai Tradisi Saat Lebaran
805,Bijak Mengubah Insecure Menjadi Bersyukur
806,Pakar UNAIR Ungkap Sisi Negatif Over Exposure di Media Sosial
807,Tips Jaga Stamina Tubuh Tetap Fit saat Mudik
808,SRE UNAIR Ulas Kendala Pengarusutamaan Energi Terbarukan di Indonesia
809,Pakar UNAIR Nilai Perilaku Klitih Bukan Gangguan Kepribadian
810,IKA UNAIR Ponorogo Bagikan Ratusan Takjil Ramadan
811,"Jasa Tukar Uang Menjamur, Pakar Ekonomi Islam UNAIR Beri Penjelasan"
812,Kenali Dua Langkah Bijak Mengelola Uang THR Menurut Pakar UNAIR
813,Tausiah KH Ahmad Zahro Tutup Serangkaian Gemilang Ramadan PUSPAS UNAIR
814,Departemen Fisika UNAIR Kenalkan SMART MEDICAL DEVICES Berbasis IOT
815,"101 Mahasiswa dari Asia, Eropa, dan Afrika Ikuti Program Internasional 2022 UNAIR"
816,Pengmas Departemen Ilmu Faal dan Biokimia Demi Mewujudkan Lansia Sehat dan Produktif
817,"Kata Praktisi K3 Konstruksi, Ini Gambaran HSE Plan Proyek Jalur Kereta Api"
818,"Kupas Tuntas Seputar Negeri Ginseng, KSB UNAIR Gelar Kuliah Tamu Bersama Dosen Asal Korea"
819,"Membahas Isu Ketimpangan Gender yang Dialami Perempuan, KSB UNAIR Gelar Kuliah Tamu dan Diskusi Buku"
820,Ingin Karir Cemerlang? Simak Tips and Trik Sukses Meraih Karir di Era Industrialisasi
821,"Perubahan Sistem Seleksi, Rektor: Linearitas antara SLTA dan Perguruan Tinggi Tetap Dipertimbangkan"
822,SIKIA Banyuwangi Gerak Cepat Siapkan Prodi Kedokteran pada 2023
823,AGE UNAIR Kembali Gelar Eazy Paspor untuk Civitas
824,Ketahui Lima Tips Ampuh Lolos Interview Kerja!
825,UNAIR Dorong Kreativitas Warga Pamekasan dengan Pengembangan BUMDES
826,Departemen Kimia UNAIR dan MGMP Kimia Kotawaringin Barat Gelar Pelatihan Skrining Bahan Aktif Tumbuhan
827,"Perdana Luring, KARSA FTMM UNAIR Giatkan Pemanfaatan Teknologi Pasca Pandemi"
828,Duta Besar Pakistan Jajaki Kerja Sama Pendidikan dengan UNAIR
829,Pakar Forensik Entomologi Sebut Serangga Bisa Jadi Alat Infestigasi Kasus Kriminal
830,"Tingkatkan Layanan Medis, Dosen UNAIR Ciptakan Medical Tourism Indonesia"
831,Tanamkan Jiwa Sinergitas kepada Mahasiswa Baru Melalui Kaderisasi B-ToPH 2022
832,Guru Besar UNAIR Paparkan Peran Wakaf Tanah untuk Ketahanan Pangan
833,"Kunjungan Universiti Teknologi Malaysia ke UNAIR, Jalin Kolaborasi dan Kerja Sama"
834,3 Tenaga Kependidikan UNAIR Hadiri Staff Week di Turki
835,BEM UNAIR Adakan Student Association Visit Bersama Mitra Internasional
836,"Achmad Badrus, Mahasiswa UNAIR yang Sukses Rintis Bisnis di Usia Muda"
837,Christian Sugiono Berbagi Pengalaman dalam Airlangga National Synergy Seminar 2022
838,Pebisnis Pemula Wajib Tahu 3 Hal Penting untuk Sukses dalam Dunia E-Commerce
839,Dosen Psikologi UNAIR: Disabilitas Bagian dari Keberagaman
840,BEM UNAIR Kunjungi Kemendagri secara Virtual
841,Serba-Serbi Maloklusi pada Anak Fase Gigi Desidui
842,"Ingin Dongkrak Prestasi, HIMA EKIS UNAIR Sosialisasikan P3M"
843,RSTKA Ulurkan Program Pengembangan Masyarakat di Pulau Oksigen
844,Gubernur Jawa Timur Lepas Misi Kemanusian RSTKA
845,"Sasar Sepuluh Pulau, RSTKA Kembali Berlayar Berikan Layanan Kesehatan"
846,Cerita Mahasiswa FKM UNAIR Jalani Magang di BPOM
847,"Kunjungi Negara Skandinavia, UNAIR Perkuat Kolaborasi dengan Mitra Level Dunia"
848,"Cegah Penularan PMK, Peternak Harus Lakukan Isolasi dan Sterilisasi Kandang"
849,"Peringati Hari Pendidikan Nasional 2022, UNAIR Tanamkan Nilai Penting Pendidikan Melalui SMART dan HEBAT"
850,"Tambal Gigi sebagai Solusi Sakit Gigi, Dokter Gigi UNAIR: Jangan Periksa pada Waktu Sakit!"
851,Mengenal lebih dekat Lupus Nefritis
852,Kuliah Tamu Pascasarjana UNAIR Ulas Dinamika Hukum Internasional dan Kesejahteraan Masyarakat
853,"Meski Sembuh dari PMK, Hewan Ternak Masih Menghasilkan Virus"
854,"Ramai Wabah PMK di Jatim, Prof Fedik: Segera Disinfeksi di Lingkungan Peternakan"
855,"Penyebab Hepatitis Akut Belum Diketahui, Dokter UNAIR Sarankan Tetap Waspada"
856,Pakar UNAIR: Hewan Terdampak Wabah PMK Aman Dikonsumsi
857,Mimpi Besar Talia Studi ke Luar Negeri Terwujud Lewat Program IISMA ke Thailand
858,FKH UNAIR Bentuk Tim Tangani Wabah PMK di Jatim
859,Dosen Ilmu Sejarah UNAIR Jelaskan Urgensi Pergerakan Dokter di Indonesia
860,Tips Nyaman Ikuti Program IISMA di Korea Selatan Ala Mahasiswa UNAIR
861,"Waspadai Kebiasaan Mendengkur, Salah Satu Gejala Apnea Tidur Obstruktif"
862,"RSUA Dapat Penghargaan dari BPJS Kesehatan, Jadi Rumah Sakit di Surabaya dengan Transformasi Digital Terbaik"
863,"Berawal dari Satu Frekuensi Musik, Hingga Menjadi Grup Band"
864,Alumni UNAIR Berbagi Kiat Bisnis dalam Mandiri Edukasi 2022
865,"Fokus Program Imunisasi, 450 Mahasiswa Ikuti KKN Tematik BIAN 2022 dengan Dinas Kesehatan Surabaya"
866,Tips Membuat Curriculum Vitae yang Baik dari Human Resources Expert
867,SDGs Center UNAIR Kunjungi UGM Diskusikan Pelaksanaan TPB
868,HRD Behaestex Group Pesan Generasi Z Bersikap Gelas Kosong saat di Tempat Kerja
869,Mahasiswa UNAIR Turun Lapangan Bersama TNI dalam Giat PROLASIH
870,Pentingnya Value Proposition untuk Menunjang Karir
871,One Health Butuh Sosok Pemimpin yang Memiliki Visi Bersama
872,Mandiri Edukasi Gandeng UNAIR Tekankan Pentingnya Investasi Sejak Dini
873,"Usung Genderless Fashion, BEM FEB UNAIR Kampanyekan Bebas Berkain"
874,HMKH SIKIA UNAIR Adakan Summer Course Gandeng 15 Negara
875,Sempat Gagal di Awal Antarkan Mahasiswa Ekis Kuliah ke Negeri Ginseng
876,Wakil Rektor UNAIR Ajak Perusahaan Mitra Mendesain Kredensial Mikro
877,"Usung Tema SDGs 15, Fahma Indrayana Sabet Juara 3 Esai Internasional"
878,Mahasiswa UNAIR Sabet Juara II Penulisan Puisi Peksimida JATIM 2022
879,Mahasiswa Ekonomi Pembangunan Raih Juara II Lomba Debat Nasional
880,Kalis Ungkap Hidup Perempuan adalah Cerita yang Kompleks
881,"Bahas Peluang Kerja Sama, SDGs Center UNAIR Gandeng Padepokan ASA Yogyakarta"
882,"Dukung Pelaksanaan SDGs Inklusif, SDGs Center UNAIR Kunjungi Kantor WALHI"
883,Alumnus dan Dosen Ekis UNAIR Bagikan Tips Lolos Tes Bank Indonesia
884,"FKM UNAIR Ajak Mahasiswa Kenali Washoku, Kuliner Tradisional Jepang"
885,"Masa Jabatan Habis di 2022, Pakar Politik UNAIR: Anies Bukan Orang Partai"
886,"Undang 3 Pembicara, BEM FH Ajak Mahasiswa Berprestasi"
887,Komitmen FKH UNAIR Tangani Wabah PMK
888,"Merebak Wabah PMK, Peternak Harus Tanggap Melihat Kondisi Ternak"
889,FIB UNAIR-Dispusip Surabaya Eksplorasi Budaya di Kawasan Kalimas
890,Menelisik Tiga Hikmah Pelajaran Ibadah Puasa dalam Kehidupan
891,FGD Fisika UNAIR Bahas Tata Kelola Organisasi dan Riset Hingga Konsultasi Mahasiswa
892,Dosen UNAIR: Akuisisi Twitter Oleh Elon Musk Bisa Dominasi Ruang Digital
893,"Hukum Lemah, Kekerasan Seksual Masih Menghantui Hewan"
894,Mahasiswa Bahasa dan Sastra Indonesia Terbitkan Kumpulan Cerpen Rona Merah
895,"Eksplorasi Kalimas, FIB UNAIR Kaji Warisan Budaya di Surabaya"
896,Beda Lebaran Indonesia dan Jerman: Langsung Kerja Setelah Shalat Ied
897,Alumni Berikan Tips Masuk BUMN Pasca-Kampus
898,Departemen Fisika UNAIR Canangkan Dua Target Utama untuk Menata Pusat Riset
899,"Terapkan Prokes, Sebanyak 16.624 Peserta Ikuti UTBK di UNAIR"
900,Pusat Riset Keselamatan Pasien UNAIR Paparkan Tantangan Layanan Pendidikan bagi Penyandang Disabilitas
901,Menyoal Pemekaran Daerah Otonomi Baru di Tanah Papua: Mengapa Tergesa-gesa?
902,Ahli UNAIR: Terbunuhnya Jurnalis Palestina Langgar Hukum Humaniter
903,Kiat Mendapat Karier Sempurna sesuai Passion Ala Auditor Inspektorat
904,"Peluang Makin Terbuka, Begini Cara Berkarir di Bank Syariah"
905,"Mona, Mahasiswa UNAIR Asal Yaman Habiskan Libur Lebaran di Surabaya dan Malang"
906,Komitmen HIMA S1 Manajemen Tingkatkan Prestasi Mahasiswa Lewat Program Pembinaan
907,Pahami Pentingnya Periode Emas bagi Tumbuh Kembang Anak
908,"Pererat Tali Silaturahmi, B-PHA UNAIR Gelar QTime Jilid 1"
909,SMHI dan KPS FH UNAIR Singgung Maraknya Kasus KDRT Melalui Diskusi Internal
910,BEM UNAIR Bagikan Kunci Sukses Lolos Beasiswa GenBi
911,"Raih Juara I Penulisan Lakon, Mahasiswa UNAIR Wakili Jawa Timur di Ajang Peksiminas 2022"
912,"Ikuti Student Exchange, Mahasiswa UNAIR Pelajari Budaya Disiplin Ala Negeri Ginseng"
913,BEM UNAIR Tumbuhkan Jiwa Kewirausahaan di Bidang Kopi Kekinian
914,Dosen FK UNAIR Beberkan Cara Pencegahan Hepatitis
915,Laskar Vokasi Latih Kesiapan Maba dalam Menghadapi Super Smart Society 5.0
916,BEM SIKIA UNAIR Bagikan Tips Perkuat Literasi Digital Mahasiswa
917,Mahasiswa SIKIA UNAIR Berikan Pelatihan Pembuatan Jamu Mocktail
918,"Sambut 150 Mahasiswa Baru, Direktur SIKIA: Jadilah Pembelajar dan Selalu Upgrade"
919,Menkes Pesan RS Terapung Ikut Turunkan Angka Kematian Ibu dan Anak
920,Mahasiswa SIKIA UNAIR Berikan Pelatihan Olah Produk Hasil Konservasi Tanaman di Banyuwangi
921,"Tuan Rumah RAVELNAS VI HIMAPOLINDO, HIMA Ilmu Politik UNAIR Adakan Seminar Tentang Pemilu"
922,BEM SIKIA Wadahi Diskusi Pentingnya Skill Literasi Digital di Era Teknologi
